Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Year
Ascension St. Vincent’s Coastal Cardiology,GA,Healthcare Provider,71227,14/10/2022,Hacking/IT Incident,Network Server,No,2022
The Valley Hospital,NJ,Healthcare Provider,4245,14/10/2022,Improper Disposal,Paper/Films,No,2022
Keystone Health,PA,Healthcare Provider,235237,14/10/2022,Hacking/IT Incident,Network Server,No,2022
"Premier Physical Therapy and Sports Performance, Limited Partnership",DE,Healthcare Provider,982,12/10/2022,Hacking/IT Incident,Email,No,2022
Sage Counseling Omaha,NE,Healthcare Provider,1359,12/10/2022,Theft,Electronic Medical Record,No,2022
Defense Health Headquarters,VA,Health Plan,1279,12/10/2022,Hacking/IT Incident,Other,No,2022
Choice Health Insurance LLC,SC,Business Associate,32064,11/10/2022,Hacking/IT Incident,Network Server,Yes,2022
"Aesthetic Dermatology Associates, PC",PA,Healthcare Provider,33793,10/10/2022,Hacking/IT Incident,Network Server,No,2022
"Regional Women’s Health Group, LLC",NJ,Healthcare Provider,804,10/10/2022,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,2022
"Seredor Centers, Inc.",FL,Healthcare Provider,2500,08/10/2022,Hacking/IT Incident,Network Server,No,2022
"Thomas J. Hubbard, MD, Inc. DBA Hubbard Plastic Surgery & Skin Enhancement Center",VA,Healthcare Provider,914,07/10/2022,Unauthorized Access/Disclosure,Network Server,No,2022
"Lifespire Services, Inc.",NY,Healthcare Provider,15375,07/10/2022,Hacking/IT Incident,Network Server,No,2022
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas",TX,Healthcare Provider,1500,07/10/2022,Hacking/IT Incident,Network Server,No,2022
"Urology of Greater Atlanta, LLC",GA,Healthcare Provider,79795,07/10/2022,Hacking/IT Incident,"Network Server, Other",No,2022
Wisconsin Department of Health Services,WI,Health Plan,12358,07/10/2022,Unauthorized Access/Disclosure,Email,No,2022
Berkshire Farm Center & Services for Youth,NY,Healthcare Provider,951,06/10/2022,Hacking/IT Incident,Email,No,2022
CareOregon,OR,Health Plan,8022,05/10/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Salud Family Health,CO,Healthcare Provider,501,05/10/2022,Hacking/IT Incident,Network Server,No,2022
"Valle del Sol, Inc.",AZ,Healthcare Provider,70268,05/10/2022,Hacking/IT Incident,Network Server,No,2022
Family Medicine Shady Grove LLC,MD,Healthcare Provider,6482,03/10/2022,Hacking/IT Incident,Network Server,No,2022
"VisionWeb Holdings, LLC",TX,Business Associate,35900,03/10/2022,Hacking/IT Incident,Email,Yes,2022
Delta Dental of Washington ,WA,Health Plan,6361,30/09/2022,Hacking/IT Incident,Network Server,Yes,2022
"Monroe Ear Nose and Throat Associates, PC",MI,Healthcare Provider,14500,30/09/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2022
Riverside Medical Group,NJ,Healthcare Provider,12499,30/09/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2022
Anthem ACE,IN,Health Plan,13406,30/09/2022,Hacking/IT Incident,Other,Yes,2022
Trillium Health Inc. ,NY,Healthcare Provider,3191,30/09/2022,Hacking/IT Incident,Email,No,2022
Zomo Health,TX,Business Associate,1359,30/09/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Anthem Health Plans of Kentucky, Incorporated",IN,Business Associate,537,29/09/2022,Theft,Other Portable Electronic Device,Yes,2022
"Smith, Gambrell & Russell, LLP",GA,Business Associate,4688,28/09/2022,Hacking/IT Incident,Network Server,Yes,2022
"Reid and Riege, P.C.",CT,Business Associate,610,28/09/2022,Hacking/IT Incident,Network Server,Yes,2022
Molina Healthcare,CA,Health Plan,1068,26/09/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
Extended MLTC,NY,Health Plan,5494,26/09/2022,Hacking/IT Incident,Network Server,Yes,2022
"Kaye-Smith Enterprises, Inc.",WA,Business Associate,2857,26/09/2022,Hacking/IT Incident,Network Server,Yes,2022
Montefiore Medical Center,NY,Healthcare Provider,1332,23/09/2022,Theft,Other Portable Electronic Device,No,2022
Resource Anesthesiology Associates of MO LLC,MO,Healthcare Provider,11672,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of MI PC,MI,Healthcare Provider,24845,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of IL PC,NY,Healthcare Provider,18321,23/09/2022,Hacking/IT Incident,Network Server,No,2022
"FMC Services, LLC",TX,Healthcare Provider,233948,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of CA A Medical Corporation,CA,Healthcare Provider,16815,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Hazleton Anesthesia Services PC,NY,Healthcare Provider,13607,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Grayling Anesthesia Associates PC,MI,Healthcare Provider,15378,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Fredericksburg Anesthesia Services LLC,NY,Healthcare Provider,7069,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Anesthesia Associates of Maryland LLC,MD,Healthcare Provider,12405,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Anesthesia Associates of El Paso PA,NY,Healthcare Provider,43168,23/09/2022,Hacking/IT Incident,Network Server,No,2022
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group",NE,Healthcare Provider,2020,23/09/2022,Hacking/IT Incident,Email,No,2022
WellMed Medical Management,TX,Healthcare Provider,10506,23/09/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,2022
"Physician’s Business Office, Inc.",WV,Business Associate,196673,23/09/2022,Hacking/IT Incident,Network Server,Yes,2022
Magellan Rx Management ,MD,Business Associate,13663,23/09/2022,Hacking/IT Incident,Network Server,Yes,2022
"Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic)",TN,Healthcare Provider,58562,23/09/2022,Hacking/IT Incident,Network Server,No,2022
Bloomington Meadows Hospital,IN,Healthcare Provider,788,23/09/2022,Unauthorized Access/Disclosure,Email,No,2022
Northern California Fertility Medical Center,CA,Healthcare Provider,12145,21/09/2022,Hacking/IT Incident,Network Server,No,2022
Seattle Children's Hospital ,WA,Healthcare Provider,6750,21/09/2022,Hacking/IT Incident,Network Server,Yes,2022
UW Medicine,WA,Healthcare Provider,3804,21/09/2022,Hacking/IT Incident,Network Server,Yes,2022
"Bonita Springs Retirement Village, Inc.  ",FL,Healthcare Provider,554,19/09/2022,Hacking/IT Incident,Email,No,2022
"Easterseals-Goodwill Northern Rocky Mountain, Inc. ",MT,Healthcare Provider,3886,16/09/2022,Hacking/IT Incident,Email,No,2022
Tessie Cleveland Community Services Corp,CA,Healthcare Provider,9747,16/09/2022,Hacking/IT Incident,Network Server,No,2022
Berkshire Farm Center & Services for Youth  ,NY,Healthcare Provider,23058,16/09/2022,Unauthorized Access/Disclosure,Network Server,No,2022
The Cooper Health System,NJ,Healthcare Provider,500,16/09/2022,Hacking/IT Incident,Email,No,2022
Country Doctor Community Clinic,WA,Healthcare Provider,38751,16/09/2022,Hacking/IT Incident,Network Server,No,2022
Landmark Management Services,FL,Healthcare Provider,501,15/09/2022,Hacking/IT Incident,Network Server,No,2022
Neurology Center of Nevada,NV,Healthcare Provider,11700,15/09/2022,Hacking/IT Incident,Electronic Medical Record,No,2022
"Centerstone of Tennessee, Inc.",TN,Healthcare Provider,3675,12/09/2022,Hacking/IT Incident,Email,No,2022
Molina Healthcare,CA,Health Plan,8283,09/09/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
"SERV Behavioral Health Systems, Inc.",NJ,Healthcare Provider,8110,09/09/2022,Hacking/IT Incident,Network Server,No,2022
FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS,TN,Health Plan,983,09/09/2022,Hacking/IT Incident,Network Server,Yes,2022
The Sargent’s Group,PA,Business Associate,1650,09/09/2022,Hacking/IT Incident,Network Server,Yes,2022
Lubbock Heart & Surgical Hospital,TX,Healthcare Provider,23379,09/09/2022,Hacking/IT Incident,Network Server,No,2022
TennCare,TN,Health Plan,1694,09/09/2022,Unauthorized Access/Disclosure,"Network Server, Paper/Films",No,2022
Medical Associates of the Lehigh Valley,PA,Healthcare Provider,75628,09/09/2022,Hacking/IT Incident,Network Server,No,2022
UCLA Health,CA,Healthcare Provider,2190,08/09/2022,Loss,Other Portable Electronic Device,No,2022
DaVita Inc.,CO,Healthcare Provider,1092,06/09/2022,Hacking/IT Incident,Laptop,No,2022
Reiter Affiliated Health and Welfare Plan,CA,Health Plan,45000,02/09/2022,Hacking/IT Incident,Network Server,No,2022
"Reiter Affiliated Companies, LLC",CA,Business Associate,48000,02/09/2022,Hacking/IT Incident,Network Server,Yes,2022
"Independent Living Systems, LLC",FL,Business Associate,501,02/09/2022,Hacking/IT Incident,Network Server,Yes,2022
"Genesis Health Care, Inc.",SC,Healthcare Provider,21226,02/09/2022,Hacking/IT Incident,Network Server,No,2022
Narragansett Bay Commission,RI,Healthcare Provider,2153,01/09/2022,Hacking/IT Incident,Network Server,No,2022
Walgreen Co.,IL,Healthcare Provider,1704,31/08/2022,Theft,Paper/Films,No,2022
Trinity Health ,MI,Business Associate,5738,29/08/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"The State Psychiatric Hospitals in the New Jersey Department of Health, Division of Behavioral Health Services",NJ,Healthcare Provider,850,29/08/2022,Hacking/IT Incident,Network Server,Yes,2022
NYSARC Columbia County Chapter d/b/a COARC,NY,Healthcare Provider,501,29/08/2022,Hacking/IT Incident,Network Server,No,2022
Methodist McKinney Hospital,TX,Healthcare Provider,110244,26/08/2022,Hacking/IT Incident,Network Server,No,2022
Methodist Craig Ranch Surgical Center,TX,Healthcare Provider,15157,26/08/2022,Hacking/IT Incident,Network Server,No,2022
NorthStar HealthCare Consulting LLC,GA,Business Associate,18354,26/08/2022,Unauthorized Access/Disclosure,Email,Yes,2022
First Street Family Health,CO,Healthcare Provider,7310,26/08/2022,Hacking/IT Incident,Network Server,No,2022
"One Medical, Inc.",TX,Healthcare Provider,1009,25/08/2022,Theft,Paper/Films,No,2022
USAble Mutual Insurance Company d/b/a Arkansas Blue Cross and Blue Shield,AR,Health Plan,8871,25/08/2022,Hacking/IT Incident,Network Server,Yes,2022
Health Advantage,AR,Health Plan,1642,25/08/2022,Hacking/IT Incident,Network Server,Yes,2022
EmergeOrtho,NC,Healthcare Provider,68661,25/08/2022,Hacking/IT Incident,Network Server,No,2022
General Health System,LA,Healthcare Provider,46149,25/08/2022,Hacking/IT Incident,Network Server,No,2022
Farmville Internal Medicine,NC,Healthcare Provider,3000,25/08/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,2022
Community Bridges,NH,Healthcare Provider,10461,24/08/2022,Hacking/IT Incident,Network Server,No,2022
"Warner Norcross and Judd, LLP",MI,Business Associate,255160,24/08/2022,Hacking/IT Incident,Network Server,Yes,2022
"Henderson & Walton Women’s Center, P.C.",AL,Healthcare Provider,34306,23/08/2022,Hacking/IT Incident,Email,No,2022
Prowers County Hospital District,CO,Healthcare Provider,1205,22/08/2022,Hacking/IT Incident,Network Server,Yes,2022
California Department of Corrections and Rehabilitation,CA,Healthcare Provider,236000,22/08/2022,Hacking/IT Incident,Network Server,No,2022
"Cerebral Medical Group, P.A.",CA,Healthcare Provider,6110,19/08/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Celanese Medical PLan,TX,Health Plan,704,19/08/2022,Unauthorized Access/Disclosure,Email,No,2022
San Diego American Indian Health Center,CA,Healthcare Provider,27367,15/08/2022,Hacking/IT Incident,Network Server,No,2022
"Choice Health Insurance, LLC",SC,Business Associate,23082,15/08/2022,Hacking/IT Incident,Network Server,Yes,2022
AdventHealth Medical Group OB GYN at Woodridge,IL,Healthcare Provider,2001,15/08/2022,Loss,Other Portable Electronic Device,No,2022
Novant Health Inc. on behalf of Novant Health ACE & as contractor for NMG Services Inc.,NC,Business Associate,1362296,14/08/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,2022
Priti Patel Physician PC,NY,Healthcare Provider,6877,14/08/2022,Hacking/IT Incident,Network Server,No,2022
Overlake Medical Center & Clinics,WA,Healthcare Provider,557,12/08/2022,Hacking/IT Incident,Network Server,No,2022
Common Ground Healthcare Cooperative,WI,Health Plan,133714,12/08/2022,Hacking/IT Incident,Network Server,Yes,2022
Valley Baptist Medical Center – Harlingen,TX,Healthcare Provider,11137,12/08/2022,Hacking/IT Incident,Network Server,No,2022
Valley Baptist Medical Center - Brownsville,TX,Healthcare Provider,7496,12/08/2022,Hacking/IT Incident,Network Server,No,2022
Onyx Technology LLC,MD,Business Associate,96814,12/08/2022,Hacking/IT Incident,Network Server,Yes,2022
"Conifer Revenue Cycle Solutions, LLC",TX,Business Associate,134948,12/08/2022,Hacking/IT Incident,Email,Yes,2022
Specialized Treatment Facility,MS,Healthcare Provider,1059,12/08/2022,Unauthorized Access/Disclosure,Email,No,2022
Rock County Human Services Department,WI,Healthcare Provider,25610,12/08/2022,Hacking/IT Incident,Email,No,2022
Lamoille Health Partners,VT,Healthcare Provider,59381,11/08/2022,Hacking/IT Incident,Network Server,No,2022
"DataStat, Inc.",MI,Business Associate,1650,08/08/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
Maternal and Family Health Services,PA,Healthcare Provider,500,08/08/2022,Hacking/IT Incident,Network Server,No,2022
Columbia River Mental Health Services,WA,Healthcare Provider,501,08/08/2022,Hacking/IT Incident,Email,No,2022
"Inline Network Integration, LLC",TX,Business Associate,500,05/08/2022,Hacking/IT Incident,Network Server,Yes,2022
Niagara County Department of Mental Health and Substance Abuse ,NY,Healthcare Provider,2160,05/08/2022,Hacking/IT Incident,Email,No,2022
Living Innovations,NH,Healthcare Provider,4000,05/08/2022,Hacking/IT Incident,Email,No,2022
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,1700,04/08/2022,Hacking/IT Incident,Email,No,2022
"Practice Resources, LLC",NY,Business Associate,942138,04/08/2022,Hacking/IT Incident,Network Server,Yes,2022
"Independent Case Management, INC.",AR,Healthcare Provider,3307,03/08/2022,Hacking/IT Incident,Network Server,No,2022
"St. Luke's Health System, Ltd.",ID,Healthcare Provider,31573,02/08/2022,Hacking/IT Incident,Network Server,Yes,2022
Florida Springs Surgery Center,FL,Healthcare Provider,2203,01/08/2022,Hacking/IT Incident,Email,No,2022
Sentara Williamsburg Regional Medical Center,VA,Healthcare Provider,591,01/08/2022,Loss,Other,No,2022
"First Choice Community Health Care, Inc.",NM,Healthcare Provider,101541,01/08/2022,Hacking/IT Incident,Network Server,No,2022
Eventus WholeHealth PLLC,NC,Healthcare Provider,1707,29/07/2022,Hacking/IT Incident,Email,No,2022
"Healthback Holdings, LLC ",OK,Healthcare Provider,21114,29/07/2022,Hacking/IT Incident,Email,No,2022
Granbury Eye Clinic,TX,Healthcare Provider,16475,29/07/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
Minuteman Senior Services,MA,Healthcare Provider,4000,29/07/2022,Hacking/IT Incident,Email,No,2022
"OneTouchPoint, Inc.",WI,Business Associate,4112892,27/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"BHG Holdings, LLC dba Behavioral Health Group",TX,Healthcare Provider,197507,27/07/2022,Hacking/IT Incident,Network Server,No,2022
Steward Medical Group,FL,Healthcare Provider,2188,26/07/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
"Conifer Value-Based Care, LLC ",CA,Business Associate,2787,26/07/2022,Hacking/IT Incident,Email,Yes,2022
Dr. Manaf Ahmad,TX,Healthcare Provider,3717,26/07/2022,Hacking/IT Incident,Email,No,2022
Allegheny Heath Network,PA,Healthcare Provider,8071,26/07/2022,Hacking/IT Incident,Email,No,2022
"Lawson Products, Inc.",IL,Health Plan,791,26/07/2022,Hacking/IT Incident,Network Server,No,2022
Santa Rosa County District Schools,FL,Health Plan,9424,25/07/2022,Unauthorized Access/Disclosure,Other,No,2022
"Scott County, Iowa",IA,Business Associate,1583,25/07/2022,Hacking/IT Incident,Email,Yes,2022
"NuLife Med, LLC",NH,Business Associate,3805,25/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1457,25/07/2022,Hacking/IT Incident,Network Server,Yes,2022
Center for Primary Care,GA,Healthcare Provider,2400,25/07/2022,Hacking/IT Incident,Email,No,2022
Radiation Oncology Centers of the Carolinas,NC,Healthcare Provider,1116,25/07/2022,Hacking/IT Incident,Email,No,2022
"Benefit Plan Administrators, Inc. ",VA,Business Associate,5004,22/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"City of Newport, Rhode Island",RI,Health Plan,6109,22/07/2022,Hacking/IT Incident,Network Server,No,2022
"Patriot Growth Insurance Services, LLC",PA,Business Associate,4614,21/07/2022,Hacking/IT Incident,Email,Yes,2022
Central Maine Medical Center,ME,Healthcare Provider,11938,21/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"Cavender Stores, Ltd Health Plan",TX,Health Plan,4447,20/07/2022,Hacking/IT Incident,Network Server,No,2022
Dow Rummel Village,SD,Healthcare Provider,1079,20/07/2022,Hacking/IT Incident,Email,No,2022
Keswick Multi-Care Center,MD,Healthcare Provider,1508,20/07/2022,Hacking/IT Incident,Email,No,2022
Zenith American Solutions,WA,Business Associate,37146,20/07/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
Goodman Campbell Brain and Spine,IN,Healthcare Provider,362833,19/07/2022,Hacking/IT Incident,Network Server,No,2022
ProMedica,OH,Healthcare Provider,1178,19/07/2022,Unauthorized Access/Disclosure,Email,No,2022
"Acts Retirement Services, Inc. and Affiliates",PA,Healthcare Provider,2236,15/07/2022,Hacking/IT Incident,Network Server,No,2022
Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ,NH,Healthcare Provider,1201,15/07/2022,Loss,Laptop,No,2022
Benson Health,NC,Healthcare Provider,28913,15/07/2022,Hacking/IT Incident,Network Server,No,2022
"Orthopedic Specialists of North America, PLLC dba OrthoArizona",AZ,Healthcare Provider,2748,15/07/2022,Hacking/IT Incident,Network Server,No,2022
"Kaiser Foundation Health Plan, Inc., Southern California ",CA,Health Plan,75010,15/07/2022,Theft,Other Portable Electronic Device,No,2022
East Valley Ophthalmology,AZ,Healthcare Provider,20734,15/07/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
Washington University School of Medicine,MO,Healthcare Provider,1056,14/07/2022,Hacking/IT Incident,Network Server,No,2022
"Premere Infinity Rehab, LLC",OR,Business Associate,183254,13/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"Avamere Health Services, LLC",OR,Business Associate,197730,13/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"Magie Mabrey Hughes Eye Clinic, P.A. dba “Arkansas Retina”",AR,Healthcare Provider,57394,13/07/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
Blue Shield of California ,CA,Health Plan,1506,12/07/2022,Hacking/IT Incident,Network Server,Yes,2022
Arlington Skin,VA,Healthcare Provider,17468,12/07/2022,Hacking/IT Incident,Electronic Medical Record,No,2022
Family Practice Center PC,PA,Healthcare Provider,83969,11/07/2022,Hacking/IT Incident,Network Server,No,2022
Southern California United Food & Commercial Workers Unions and Food Employers Benefit Fund,CA,Health Plan,850,08/07/2022,Theft,Paper/Films,No,2022
Associated Eye Care,MN,Healthcare Provider,40793,08/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,878,08/07/2022,Hacking/IT Incident,Network Server,Yes,2022
Cornerstone Services,IL,Healthcare Provider,2513,08/07/2022,Hacking/IT Incident,Network Server,No,2022
Wisconsin Department of Health Services,WI,Health Plan,1698,08/07/2022,Hacking/IT Incident,Other,Yes,2022
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1089,08/07/2022,Hacking/IT Incident,Network Server,Yes,2022
Change Healthcare,GA,Business Associate,1262,07/07/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
Southwest Health Center,WI,Healthcare Provider,46142,05/07/2022,Hacking/IT Incident,Network Server,No,2022
Cheyenne Regional Medical Center ,WY,Healthcare Provider,1652,05/07/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,2022
"WellDyneRx, LLC",FL,Business Associate,43523,01/07/2022,Hacking/IT Incident,Email,Yes,2022
"Dr. Scott Heinlein Andrew, DPM d/b/a Affiliated Foot & Ankle Center",OH,Healthcare Provider,4692,01/07/2022,Hacking/IT Incident,Electronic Medical Record,No,2022
"Carolina Behavioral Health Alliance, LLC",NC,Business Associate,130922,01/07/2022,Hacking/IT Incident,Network Server,Yes,2022
CHRISTUS Spohn Health System Corporation,TX,Healthcare Provider,15062,01/07/2022,Hacking/IT Incident,Network Server,No,2022
"Professional Finance Company, Inc.",CO,Business Associate,1918941,01/07/2022,Hacking/IT Incident,Network Server,Yes,2022
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,17481,30/06/2022,Hacking/IT Incident,Network Server,Yes,2022
Community of Hope D.C.,DC,Healthcare Provider,580,30/06/2022,Hacking/IT Incident,Email,No,2022
Michigan Avenue Immediate Care,IL,Healthcare Provider,144104,30/06/2022,Hacking/IT Incident,Network Server,No,2022
"OrthoWest, PC",NE,Healthcare Provider,1369,30/06/2022,Hacking/IT Incident,Email,No,2022
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,628,30/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1145,29/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"Kevin Wolf, DPM d/b/a Goldsboro Podiatry",NC,Healthcare Provider,30669,28/06/2022,Hacking/IT Incident,Network Server,Yes,2022
St Joseph Heritage Health,CA,Healthcare Provider,7216,28/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"Mattax Neu Prater Eye Center, Inc.",MO,Healthcare Provider,92361,28/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,735,27/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1267,27/06/2022,Hacking/IT Incident,Network Server,Yes,2022
Foxhall Ob Gyn Associates,DC,Healthcare Provider,27000,24/06/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Hudson Regional Hospital,NJ,Healthcare Provider,1300,22/06/2022,Hacking/IT Incident,Network Server,Yes,2022
Winslow Memorial Hospital d/b/a Little Colorado Medical Center,AZ,Healthcare Provider,1000,21/06/2022,Hacking/IT Incident,Network Server,No,2022
Phelps County Regional Medical Center d/b/a Phelps Health ,MO,Healthcare Provider,12602,21/06/2022,Hacking/IT Incident,Network Server,Yes,2022
Yale New Haven Hospital,CT,Healthcare Provider,19496,17/06/2022,Unauthorized Access/Disclosure,Network Server,No,2022
ARC Industries Inc. of Franklin County,OH,Healthcare Provider,22011,17/06/2022,Hacking/IT Incident,Network Server,No,2022
Aloha Laser Vision,HI,Healthcare Provider,43263,17/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
Help at Home ,IL,Healthcare Provider,800,17/06/2022,Improper Disposal,Paper/Films,No,2022
"Kernersville Eye Surgeons, P.C. ",NC,Healthcare Provider,13412,17/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
"Tosoh America, Inc.",OH,Health Plan,880,17/06/2022,Hacking/IT Incident,Email,No,2022
"New Schryver, LLC d/b/a/ TridentCare",MD,Healthcare Provider,6200,16/06/2022,Theft,Other Portable Electronic Device,No,2022
City of Cincinnati Health Plan,OH,Health Plan,9769,16/06/2022,Unauthorized Access/Disclosure,Network Server,No,2022
Long Vision Center ,TX,Healthcare Provider,29237,16/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
"Carolina Eyecare Physicians, LLC",SC,Healthcare Provider,68739,16/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
Liberty Healthcare Group ,NC,Healthcare Provider,2191,16/06/2022,Hacking/IT Incident,Email,No,2022
Mason Tenders’ District Council Welfare Fund,NY,Health Plan,13344,16/06/2022,Hacking/IT Incident,Network Server,No,2022
Baptist Medical Center,TX,Healthcare Provider,1608549,15/06/2022,Hacking/IT Incident,Network Server,No,2022
Resolute Health Hospital,TX,Healthcare Provider,54239,15/06/2022,Hacking/IT Incident,Network Server,No,2022
UW Medicine,WA,Healthcare Provider,763,15/06/2022,Theft,Laptop,No,2022
"Sight Partners Physicians, P.C.",WA,Healthcare Provider,86101,14/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
"DialAmerica Marketing, Inc.",NJ,Business Associate,19796,12/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"MCG Health, LLC",WA,Business Associate,793283,10/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"Bayshore Brightwaters Rescue Ambulance, Inc.",NY,Healthcare Provider,500,10/06/2022,Hacking/IT Incident,Email,No,2022
Yuma Regional Medical Center,AZ,Healthcare Provider,737448,09/06/2022,Hacking/IT Incident,Network Server,No,2022
"90 Degree Benefits, Inc.",WI,Business Associate,172450,09/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"Christiana Spine Center, PA",DE,Healthcare Provider,3500,09/06/2022,Hacking/IT Incident,Network Server,No,2022
Heartland Healthcare Services,OH,Healthcare Provider,2763,09/06/2022,Hacking/IT Incident,Network Server,No,2022
Chesapeake Eye Center PA,MD,Healthcare Provider,32770,09/06/2022,Hacking/IT Incident,Network Server,Yes,2022
Southern Ohio Medical Center,OH,Healthcare Provider,1333,08/06/2022,Hacking/IT Incident,Network Server,Yes,2022
CLARENDON HEALTH AND WELLNESS CENTER,SC,Healthcare Provider,3300,08/06/2022,Theft,"Desktop Computer, Electronic Medical Record, Laptop, Other Portable Electronic Device",No,2022
Orangeburg Eye Center ,SC,Healthcare Provider,9000,08/06/2022,Hacking/IT Incident,Network Server,Yes,2022
"Bergen's Promise, Inc.",NJ,Business Associate,6948,07/06/2022,Hacking/IT Incident,Email,Yes,2022
Atrium Health at Home,NC,Healthcare Provider,6695,07/06/2022,Hacking/IT Incident,Email,No,2022
Texas Tech University Health Sciences Center,TX,Healthcare Provider,1290104,07/06/2022,Hacking/IT Incident,Other,Yes,2022
Grandview Medical Center,AL,Healthcare Provider,1126,06/06/2022,Theft,Paper/Films,No,2022
"Memorial Community Health, Inc.",NE,Healthcare Provider,1658,06/06/2022,Hacking/IT Incident,Network Server,No,2022
Spectrum Eye Physicians,CA,Healthcare Provider,175000,06/06/2022,Hacking/IT Incident,Network Server,Yes,2022
Kaiser Foundation Health Plan of Washington,WA,Healthcare Provider,69589,03/06/2022,Hacking/IT Incident,Email,No,2022
Clinivate LLC,CA,Business Associate,77652,02/06/2022,Hacking/IT Incident,Network Server,Yes,2022
University of Kansas Health System - Great Bend Campus,KS,Healthcare Provider,926,01/06/2022,Improper Disposal,Paper/Films,No,2022
Smile Solutions,WA,Healthcare Provider,8000,01/06/2022,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,2022
"Burman & Zuckerbrod Ophthalmology Associates, P.C.",MI,Healthcare Provider,1337,01/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
Fishman Vision,CA,Healthcare Provider,2646,01/06/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
"Allied Urological Services, LLC ",NY,Business Associate,6280,31/05/2022,Hacking/IT Incident,Email,Yes,2022
